loan_id,Customer_ID,loan_start_date,tenure,installment_num,loan_amt,due_amt,paid_amt,overdue_amt,balance,snapshot_date
CUS_0x1000_2023_05_01,CUS_0x1000,2023-05-01,10,0,10000,0.0,0.0,0.0,10000.0,2023-05-01
CUS_0x1000_2023_05_01,CUS_0x1000,2023-05-01,10,1,10000,1000.0,1000.0,0.0,9000.0,2023-06-01
CUS_0x1000_2023_05_01,CUS_0x1000,2023-05-01,10,2,10000,1000.0,1000.0,0.0,8000.0,2023-07-01
CUS_0x1000_2023_05_01,CUS_0x1000,2023-05-01,10,3,10000,1000.0,0.0,1000.0,8000.0,2023-08-01
CUS_0x1000_2023_05_01,CUS_0x1000,2023-05-01,10,4,10000,1000.0,2000.0,0.0,6000.0,2023-09-01
CUS_0x1000_2023_05_01,CUS_0x1000,2023-05-01,10,5,10000,1000.0,0.0,1000.0,6000.0,2023-10-01
CUS_0x1000_2023_05_01,CUS_0x1000,2023-05-01,10,6,10000,1000.0,0.0,2000.0,6000.0,2023-11-01
CUS_0x1000_2023_05_01,CUS_0x1000,2023-05-01,10,7,10000,1000.0,0.0,3000.0,6000.0,2023-12-01
CUS_0x1000_2023_05_01,CUS_0x1000,2023-05-01,10,8,10000,1000.0,0.0,4000.0,6000.0,2024-01-01
CUS_0x1000_2023_05_01,CUS_0x1000,2023-05-01,10,9,10000,1000.0,0.0,5000.0,6000.0,2024-02-01
CUS_0x1000_2023_05_01,CUS_0x1000,2023-05-01,10,10,10000,1000.0,0.0,6000.0,6000.0,2024-03-01
CUS_0x1026_2023_10_01,CUS_0x1026,2023-10-01,10,0,10000,0.0,0.0,0.0,10000.0,2023-10-01
CUS_0x1026_2023_10_01,CUS_0x1026,2023-10-01,10,1,10000,1000.0,1000.0,0.0,9000.0,2023-11-01
CUS_0x1026_2023_10_01,CUS_0x1026,2023-10-01,10,2,10000,1000.0,1000.0,0.0,8000.0,2023-12-01
CUS_0x1026_2023_10_01,CUS_0x1026,2023-10-01,10,3,10000,1000.0,1000.0,0.0,7000.0,2024-01-01
CUS_0x1026_2023_10_01,CUS_0x1026,2023-10-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2024-02-01
CUS_0x1026_2023_10_01,CUS_0x1026,2023-10-01,10,5,10000,1000.0,1000.0,0.0,5000.0,2024-03-01
CUS_0x1026_2023_10_01,CUS_0x1026,2023-10-01,10,6,10000,1000.0,1000.0,0.0,4000.0,2024-04-01
CUS_0x1026_2023_10_01,CUS_0x1026,2023-10-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2024-05-01
CUS_0x1026_2023_10_01,CUS_0x1026,2023-10-01,10,8,10000,1000.0,1000.0,0.0,2000.0,2024-06-01
CUS_0x1026_2023_10_01,CUS_0x1026,2023-10-01,10,9,10000,1000.0,1000.0,0.0,1000.0,2024-07-01
CUS_0x1026_2023_10_01,CUS_0x1026,2023-10-01,10,10,10000,1000.0,1000.0,0.0,0.0,2024-08-01
CUS_0x103e_2024_12_01,CUS_0x103e,2024-12-01,10,0,10000,0.0,0.0,0.0,10000.0,2024-12-01
